5237,100,260,28,19,142,237,260,98
153,14915,246,801,21,1687,126,163,287
57,27,1449,7,4,26,16,244,19
18,189,26,2425,3,71,22,16,44
11,9,23,0,1024,4,6,17,1
54,935,79,62,13,3458,37,70,71
130,20,17,2,2,17,853,14,25
81,52,516,9,24,116,41,2574,19
8,6,5,6,0,4,3,3,662
