val_loss,val_spectral_information_divergence_loss,loss,spectral_information_divergence_loss,TimeHistory
14.32378115031027,14.32378115031027,27.259356132151833,27.259356132151833,23.35353994369507
13.178091187938566,13.178091187938566,13.347036405310408,13.347036405310408,22.352375984191895
12.889961884713943,12.889961884713943,12.62786861624769,12.62786861624769,23.05413818359375
12.613888831446248,12.613888831446248,12.233091429023332,12.233091429023332,21.99466323852539
12.483777319231342,12.483777319231342,11.984730298442225,11.984730298442225,21.85864281654358
12.42906789245144,12.42906789245144,11.843985026643267,11.843985026643267,21.899810314178467
12.340702481654382,12.340702481654382,11.782821654521436,11.782821654521436,21.859532356262207
12.375300598605987,12.375300598605987,11.727648400884375,11.727648400884375,23.966038942337036
12.323097062649266,12.323097062649266,11.693455004948442,11.693455004948442,22.604217052459717
12.301040837380194,12.301040837380194,11.629207021515002,11.629207021515002,22.152057886123657
