Stats,aRMSE,aSAM,overallRMSE,rmsAAD,perClassSumRMSE,class0RMSE,class1RMSE,class2RMSE,class3RMSE,class4RMSE,class5RMSE,rRMSE,rSID,inference_time
mean,0.06429414078593254,0.20148976892232895,0.09447086229920387,0.3364924341440201,0.5497866868972778,0.10119673982262611,0.11423581466078758,0.09174736216664314,0.050622133538126945,0.11434182152152061,0.0776427872478962,0.06003371439874172,2196.07763671875,31.27690863609314
std,0.0008571930229663849,0.0008739307522773743,0.0013410262763500214,0.009440287947654724,0.0070416927337646484,0.0012073926627635956,0.0018534623086452484,0.0012097544968128204,0.005592687055468559,0.0010904483497142792,0.012107614427804947,0.0022916849702596664,35.367431640625,0.469998836517334
min,0.06343694776296616,0.20061583817005157,0.09312983602285385,0.32705214619636536,0.5427449941635132,0.09998934715986252,0.11238235235214233,0.09053760766983032,0.045029446482658386,0.11325137317180634,0.06553517282009125,0.057742029428482056,2160.710205078125,30.806909799575806
max,0.06515133380889893,0.20236369967460632,0.0958118885755539,0.3459327220916748,0.5568283796310425,0.10240413248538971,0.11608927696943283,0.09295711666345596,0.056214820593595505,0.1154322698712349,0.08975040167570114,0.06232539936900139,2231.445068359375,31.746907472610474
