val_loss,val_cnn_rmse,val_overall_rms_abundance_angle_distance,val_sum_per_class_rmse,loss,cnn_rmse,overall_rms_abundance_angle_distance,sum_per_class_rmse,TimeHistory
0.006439828194317318,0.08016237692486855,0.2803094840818836,0.475083464384079,0.02702254773267815,0.15113753399861757,0.5139793034010036,0.8776924616461587,5.764777183532715
0.004314262443071892,0.065641225292798,0.22445813311684515,0.39038742526885,0.005877543666456763,0.07641018246023458,0.2683923228410837,0.4507844783670159,5.1383161544799805
0.0025460711717906017,0.050425269671024814,0.17088596849672255,0.2956185569109455,0.0034224628627727537,0.05811661499161874,0.20104892618553613,0.3438126588166828,5.1355299949646
0.001902760605688297,0.04357057816078586,0.1495096907884844,0.2572514726077357,0.0024890161074671265,0.04975684192285316,0.16929513963106285,0.29318520650641466,5.362302780151367
0.0019664387493544527,0.0442676286303228,0.15078927115086585,0.26113761486545684,0.002070719240914269,0.04535674646496773,0.15500819156033163,0.26748195774239025,5.241034984588623
0.002044982805908207,0.045182565368952286,0.1521162546065546,0.26294419584735745,0.0018061947832585022,0.042407170200326534,0.14495993678074157,0.2501212236018164,5.713669776916504
0.0014372829659541528,0.0378385260965555,0.1316954650417451,0.22238411241962064,0.0015886448074539448,0.03973544251053564,0.13642116101625573,0.23383812545661858,5.417089939117432
0.0014076600905748144,0.037451216213164794,0.13279817363908214,0.22153024258152132,0.001398421550072783,0.03732149488983616,0.12790637277467276,0.21994900157161085,5.187695741653442
0.0014060792412548776,0.037452576155624084,0.12521664000326588,0.22272863672625634,0.0013321184406497625,0.03634176068996016,0.12519433623787324,0.21353474954977686,5.070146322250366
0.001144754741896665,0.03373564250046207,0.11442303901718509,0.19809415592301277,0.0012417875213288172,0.03511328733736469,0.12027105356843668,0.20629547130463372,5.0886476039886475
